trendline,price_diff,tick_volume,close
,-0.0050000000000096,1556,110.008
,0.027000000000001,1136,110.035
,0.0050000000000096,1056,110.04
,0.0389999999999872,1144,110.079
,-0.0090000000000003,1015,110.07
,0.027000000000001,1201,110.097
,-0.019999999999996,3460,110.077
,-0.2099999999999937,2738,109.867
,0.0139999999999957,4150,109.881
,0.0660000000000025,3173,109.947
,-0.027000000000001,1649,109.92
,-0.0619999999999976,1197,109.858
,0.0009999999999905,1073,109.859
,-0.0339999999999918,1497,109.825
,-0.0150000000000005,1411,109.81
109.9623408239701,-0.0840000000000031,2243,109.726
109.95735205992509,0.0360000000000013,2386,109.762
109.95187565543073,-0.027000000000001,1807,109.735
109.94459550561804,-0.0420000000000015,2430,109.693
109.93653707865172,0.0109999999999956,2307,109.704
109.928791011236,0.01400000000001,1801,109.718
109.92327715355808,0.0319999999999964,2042,109.75
109.9169393258427,-0.0240000000000009,3064,109.726
109.91253857677904,0.073999999999998,4115,109.8
109.90664494382024,0.0180000000000006,2091,109.818
109.8991550561798,-0.0510000000000019,1536,109.767
109.89651086142324,0.0460000000000064,1629,109.813
109.89463520599249,-0.0079999999999955,1414,109.805
109.89021348314608,-0.0240000000000009,2049,109.781
109.88654082397,0.0339999999999918,1154,109.815
109.88346292134834,-0.0069999999999907,1215,109.808
109.8797146067416,-0.0380000000000109,2643,109.77
109.87942172284647,0.088000000000008,2813,109.858
109.87666966292134,-0.0450000000000017,2442,109.813
109.87486741573038,0.0499999999999971,1861,109.863
109.87277902621722,-0.0250000000000056,1370,109.838
109.86829887640448,-0.0579999999999927,769,109.78
109.8636719101124,0.0130000000000052,1274,109.793
109.85832134831458,-0.0120000000000004,1321,109.781
109.85374531835208,0.0030000000000001,1395,109.784
109.84885617977528,0.0120000000000004,1687,109.796
109.84488164794008,0.0039999999999906,1289,109.8
109.84007790262172,0.0229999999999961,960,109.823
109.8340868913858,-0.0229999999999961,593,109.8
109.8306202247191,0.0520000000000067,1004,109.852
109.8248232209738,-0.0750000000000028,2274,109.777
109.81728838951312,-0.0520000000000067,2378,109.725
109.81086441947566,0.0330000000000012,2263,109.758
109.805127340824,0.0090000000000003,1304,109.767
109.79887715355808,-0.0349999999999965,1010,109.732
109.79309737827712,-0.007000000000005,1121,109.725
109.79000374531836,0.0440000000000111,1327,109.769
109.78745243445694,0.0109999999999956,1140,109.78
109.78477453183524,-0.0079999999999955,902,109.772
109.78269063670412,0.0049999999999954,1567,109.777
109.78149063670416,0.0160000000000053,2618,109.793
109.77966666666669,-0.0230000000000103,3118,109.77
109.7800127340824,0.0640000000000071,2130,109.834
109.78003220973784,-0.0010000000000047,1459,109.833
109.77948164794007,-0.0190000000000054,869,109.814
109.7791655430712,0.0170000000000101,635,109.831
109.77905992509366,0.0069999999999907,687,109.838
109.77809513108616,0.0130000000000052,719,109.851
109.7780127340824,0.0109999999999956,837,109.862
109.7790943820225,-0.0259999999999962,1011,109.836
109.77898951310866,0.0330000000000012,783,109.869
109.77967265917604,0.0040000000000048,477,109.873
109.78005617977529,0.0120000000000004,658,109.885
109.7793108614232,-0.0080000000000097,669,109.877
109.77885617977532,-0.0060000000000002,446,109.871
109.7803662921348,0.0440000000000111,525,109.915
109.78297078651686,0.0259999999999962,653,109.941
109.7856337078652,-0.0250000000000056,514,109.916
109.78855131086146,0.0050000000000096,701,109.921
109.79250337078648,0.012999999999991,951,109.934
109.7967850187266,0.0040000000000048,698,109.938
109.79890187265914,-0.0210000000000007,775,109.917
109.79893857677904,-0.0460000000000064,1600,109.871
109.79877528089888,-0.0189999999999912,2721,109.852
109.79811086142324,-0.0180000000000006,2153,109.834
109.79418426966292,-0.081000000000003,2758,109.753
109.79616104868916,0.0169999999999959,3283,109.77
109.7916284644195,-0.093999999999994,2678,109.676
109.78800599250944,0.0289999999999963,1503,109.705
109.78600973782773,0.0370000000000061,873,109.742
