time,open,high,low,close,tick_volume,spread,real_volume
2020-02-17 10:00:00,109.862,109.869,109.829,109.836,1011,4,0
2020-02-17 11:00:00,109.836,109.876,109.816,109.869,783,3,0
2020-02-17 12:00:00,109.869,109.88,109.857,109.873,477,4,0
2020-02-17 13:00:00,109.873,109.888,109.866,109.885,658,3,0
2020-02-17 14:00:00,109.885,109.893,109.865,109.877,669,3,0
2020-02-17 15:00:00,109.877,109.88,109.863,109.871,446,3,0
2020-02-17 16:00:00,109.871,109.93,109.862,109.915,525,3,0
2020-02-17 17:00:00,109.915,109.96,109.888,109.941,653,4,0
2020-02-17 18:00:00,109.941,109.947,109.904,109.916,514,3,0
2020-02-17 19:00:00,109.916,109.925,109.9,109.921,701,4,0
2020-02-17 20:00:00,109.921,109.946,109.918,109.934,951,3,0
2020-02-17 21:00:00,109.934,109.94,109.924,109.938,698,4,0
2020-02-17 22:00:00,109.939,109.94,109.917,109.917,775,4,0
2020-02-17 23:00:00,109.917,109.92,109.848,109.871,1600,4,0
2020-02-18 00:00:00,109.866,109.879,109.796,109.852,2721,4,0
2020-02-18 01:00:00,109.852,109.865,109.797,109.834,2153,3,0
2020-02-18 02:00:00,109.835,109.839,109.715,109.753,2758,3,0
2020-02-18 03:00:00,109.753,109.797,109.714,109.77,3283,3,0
2020-02-18 04:00:00,109.77,109.794,109.66,109.676,2678,3,0
2020-02-18 05:00:00,109.676,109.712,109.655,109.705,1503,3,0
2020-02-18 06:00:00,109.705,109.757,109.699,109.742,873,3,0
2020-02-18 07:00:00,109.742,109.761,109.719,109.752,1211,4,0
2020-02-18 08:00:00,109.752,109.796,109.736,109.767,1172,3,0
2020-02-18 09:00:00,109.768,109.776,109.674,109.697,1732,3,0
2020-02-18 10:00:00,109.697,109.77,109.69,109.747,2523,3,0
2020-02-18 11:00:00,109.747,109.748,109.661,109.72,1578,4,0
2020-02-18 12:00:00,109.72,109.74,109.684,109.723,2041,3,0
2020-02-18 13:00:00,109.723,109.73,109.698,109.719,1002,3,0
2020-02-18 14:00:00,109.719,109.775,109.71,109.768,1145,4,0
2020-02-18 15:00:00,109.768,109.802,109.733,109.779,1660,3,0
2020-02-18 16:00:00,109.779,109.946,109.768,109.917,3057,3,0
2020-02-18 17:00:00,109.917,109.932,109.796,109.805,2560,3,0
2020-02-18 18:00:00,109.806,109.833,109.773,109.805,2229,3,0
2020-02-18 19:00:00,109.804,109.888,109.804,109.867,1576,3,0
2020-02-18 20:00:00,109.867,109.903,109.829,109.85,1203,3,0
2020-02-18 21:00:00,109.85,109.883,109.838,109.865,1294,3,0
2020-02-18 22:00:00,109.866,109.883,109.848,109.854,1049,3,0
2020-02-18 23:00:00,109.854,109.88,109.845,109.866,545,4,0
2020-02-19 00:00:00,109.866,109.885,109.834,109.859,723,5,0
2020-02-19 01:00:00,109.859,109.934,109.845,109.919,1820,4,0
2020-02-19 02:00:00,109.919,109.949,109.897,109.91,2060,3,0
2020-02-19 03:00:00,109.91,109.978,109.859,109.968,2624,3,0
2020-02-19 04:00:00,109.968,110.11,109.968,110.033,2317,3,0
2020-02-19 05:00:00,110.033,110.069,110.023,110.056,1263,3,0
2020-02-19 06:00:00,110.056,110.067,110.006,110.025,1000,3,0
2020-02-19 07:00:00,110.025,110.063,110.02,110.049,747,4,0
2020-02-19 08:00:00,110.049,110.06,110.02,110.042,995,3,0
2020-02-19 09:00:00,110.042,110.145,110.037,110.118,1686,3,0
2020-02-19 10:00:00,110.118,110.188,110.063,110.18,1956,3,0
2020-02-19 11:00:00,110.18,110.248,110.165,110.235,1559,3,0
2020-02-19 12:00:00,110.235,110.365,110.214,110.325,1466,3,0
2020-02-19 13:00:00,110.325,110.446,110.305,110.443,1494,3,0
2020-02-19 14:00:00,110.443,110.512,110.405,110.485,1408,3,0
2020-02-19 15:00:00,110.485,110.799,110.471,110.653,2735,3,0
2020-02-19 16:00:00,110.653,110.888,110.651,110.83,2794,3,0
2020-02-19 17:00:00,110.83,110.976,110.767,110.944,2367,3,0
2020-02-19 18:00:00,110.944,111.319,110.919,111.177,3066,3,0
2020-02-19 19:00:00,111.175,111.256,111.11,111.256,1804,3,0
2020-02-19 20:00:00,111.254,111.437,111.236,111.354,1329,4,0
2020-02-19 21:00:00,111.355,111.588,111.34,111.575,2344,3,0
2020-02-19 22:00:00,111.575,111.589,111.23,111.24,2489,3,0
2020-02-19 23:00:00,111.24,111.364,111.225,111.362,1050,3,0
2020-02-20 00:00:00,111.356,111.364,111.234,111.239,622,4,0
2020-02-20 01:00:00,111.239,111.299,111.19,111.195,1834,3,0
2020-02-20 02:00:00,111.195,111.306,111.11,111.207,4698,3,0
2020-02-20 03:00:00,111.207,111.288,111.132,111.243,3236,3,0
2020-02-20 04:00:00,111.243,111.344,111.231,111.337,3519,3,0
